timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704197960049,76,Business-0,301,Moved Permanently,Thread Group 1-9,text,true,,577,130,10,10,http://www.simplilearn.com/business/,76,0,0
1704197960126,79,Business-1,301,Moved Permanently,Thread Group 1-9,text,true,,720,130,10,10,https://www.simplilearn.com/business/,79,0,0
1704197960206,3374,Business-2,200,OK,Thread Group 1-9,text,true,,1468461,129,10,10,https://www.simplilearn.com/business,265,0,0
1704197962725,1251,Homepage,200,OK,Thread Group 1-2,text,true,,282657,302,10,10,https://www.simplilearn.com/,88,0,0
1704197962725,88,Homepage-0,301,Moved Permanently,Thread Group 1-2,text,true,,568,181,10,10,http://www.simplilearn.com/,88,0,0
1704197962814,1162,Homepage-1,200,OK,Thread Group 1-2,text,true,,282089,121,10,10,https://www.simplilearn.com/,123,0,0
1704197962932,1726,Homepage,200,OK,Thread Group 1-7,text,true,,282657,302,10,10,https://www.simplilearn.com/,87,0,0
1704197962932,87,Homepage-0,301,Moved Permanently,Thread Group 1-7,text,true,,568,181,10,10,http://www.simplilearn.com/,87,0,0
1704197963019,1639,Homepage-1,200,OK,Thread Group 1-7,text,true,,282089,121,10,10,https://www.simplilearn.com/,398,0,0
1704197962116,2631,Business,200,OK,Thread Group 1-1,text,true,,1469758,389,10,10,https://www.simplilearn.com/business,61,0,0
1704197962116,61,Business-0,301,Moved Permanently,Thread Group 1-1,text,true,,577,130,10,10,http://www.simplilearn.com/business/,61,0,0
1704197962177,64,Business-1,301,Moved Permanently,Thread Group 1-1,text,true,,720,130,10,10,https://www.simplilearn.com/business/,64,0,0
1704197962241,2506,Business-2,200,OK,Thread Group 1-1,text,true,,1468461,129,10,10,https://www.simplilearn.com/business,104,0,0
1704197963580,1248,Homepage,200,OK,Thread Group 1-9,text,true,,282657,302,9,9,https://www.simplilearn.com/,436,0,0
1704197963580,436,Homepage-0,301,Moved Permanently,Thread Group 1-9,text,true,,568,181,9,9,http://www.simplilearn.com/,436,0,0
1704197964016,812,Homepage-1,200,OK,Thread Group 1-9,text,true,,282089,121,9,9,https://www.simplilearn.com/,209,0,0
1704197958598,6246,Business,200,OK,Thread Group 1-6,text,true,,1469766,389,9,9,https://www.simplilearn.com/business,60,0,0
1704197958598,60,Business-0,301,Moved Permanently,Thread Group 1-6,text,true,,577,130,9,9,http://www.simplilearn.com/business/,60,0,0
1704197958658,68,Business-1,301,Moved Permanently,Thread Group 1-6,text,true,,720,130,9,9,https://www.simplilearn.com/business/,68,0,0
1704197958726,6118,Business-2,200,OK,Thread Group 1-6,text,true,,1468469,129,9,9,https://www.simplilearn.com/business,275,0,0
1704197963977,1233,Resource,200,OK,Thread Group 1-2,text,true,,234368,392,9,9,https://www.simplilearn.com/resources,80,0,0
1704197963977,80,Resource-0,301,Moved Permanently,Thread Group 1-2,text,true,,578,131,9,9,http://www.simplilearn.com/resources/,80,0,0
1704197964057,89,Resource-1,301,Moved Permanently,Thread Group 1-2,text,true,,449,131,9,9,https://www.simplilearn.com/resources/,89,0,0
1704197964146,1064,Resource-2,200,OK,Thread Group 1-2,text,true,,233341,130,9,9,https://www.simplilearn.com/resources,400,0,0
1704197964829,648,Resource,200,OK,Thread Group 1-9,text,true,,234376,392,9,9,https://www.simplilearn.com/resources,67,0,0
1704197964829,67,Resource-0,301,Moved Permanently,Thread Group 1-9,text,true,,578,131,9,9,http://www.simplilearn.com/resources/,67,0,0
1704197964897,99,Resource-1,301,Moved Permanently,Thread Group 1-9,text,true,,449,131,9,9,https://www.simplilearn.com/resources/,99,0,0
1704197964997,480,Resource-2,200,OK,Thread Group 1-9,text,true,,233349,130,9,9,https://www.simplilearn.com/resources,220,0,0
